Name;Required;Set;Model;KickstartVersion;AmigaOsVersionsSupported;RunSupported;Md5Hash;Encrypted;Filename;CopyFile;PrefsFile;Comment
Kickstart 3.1 (40.068) (A4000) Rom;False;Kickstart Cloanto Amiga Forever 8;A4000;3.1;3.9,3.1.4,3.1;False;151cce9d7aa9a36a835ec2f78853125b;Yes;kick40068.A4000;True;Install-AF-Kick40068-A4000-Rom;Cloanto Amiga Forever 8
Kickstart 3.1 (40.068) (A1200) Rom;False;Kickstart Cloanto Amiga Forever 8;A1200;3.1;3.9,3.1.4,3.1;True;43efffafb382528355bb4cdde9fa9ce7;Yes;kick40068.A1200;True;Install-AF-Kick40068-A1200-Rom;Cloanto Amiga Forever 8
Kickstart 3.1 (40.063) (A600) Rom;False;Kickstart Cloanto Amiga Forever 8;A500;3.1;3.9,3.1.4,3.1;True;85a45066a0aebf9ec5870591b6ddcc52;Yes;kick40063.A600;True;Install-AF-Kick40063-A600-Rom;Cloanto Amiga Forever 8
Kickstart 1.3 (34.5) (A500) Rom;True;Kickstart Cloanto Amiga Forever 8;A500;1.3;;False;189fd22ec463a9375f2ea63045ed6315;Yes;kick34005.A500;True;Install-AF-Kick34005-A500-Rom;Cloanto Amiga Forever 8
Kickstart 1.2 (33.180) (A500) Rom;False;Kickstart Cloanto Amiga Forever 8;A500;1.2;;False;d59262012424ee5ddc5aadab9cb57cad;Yes;kick33180.A500;True;Install-AF-Kick33180-A500-Rom;Cloanto Amiga Forever 8
Kickstart Rom Key;True;Kickstart Cloanto Amiga Forever 8;;;;False;69f3435483bbf39f686d9168bff37f2f;No;rom.key;True;Install-AF-Rom-Key;Cloanto Amiga Forever 8

Kickstart 3.1 (40.068) (A4000) Rom;False;Kickstart Cloanto Amiga Forever 7/2016;A4000;3.1;3.9,3.1.4,3.1;False;8b54c2c5786e9d856ce820476505367d;Yes;kick40068.A4000;True;Install-AF-Kick40068-A4000-Rom;Cloanto Amiga Forever 7/2016
Kickstart 3.1 (40.068) (A1200) Rom;False;Kickstart Cloanto Amiga Forever 7/2016;A1200;3.1;3.9,3.1.4,3.1;True;dc3f5e4698936da34186d596c53681ab;Yes;kick40068.A1200;True;Install-AF-Kick40068-A1200-Rom;Cloanto Amiga Forever 7/2016
Kickstart 3.1 (40.063) (A600) Rom;False;Kickstart Cloanto Amiga Forever 7/2016;A500;3.1;3.9,3.1.4,3.1;True;c3e114cd3b513dc0377a4f5d149e2dd9;Yes;kick40063.A600;True;Install-AF-Kick40063-A600-Rom;Cloanto Amiga Forever 7/2016
Kickstart 1.3 (34.5) (A500) Rom;True;Kickstart Cloanto Amiga Forever 7/2016;A500;1.3;;False;89160c06ef4f17094382fc09841557a6;Yes;kick34005.A500;True;Install-AF-Kick34005-A500-Rom;Cloanto Amiga Forever 7/2016
Kickstart 1.2 (33.180) (A500) Rom;False;Kickstart Cloanto Amiga Forever 7/2016;A500;1.2;;False;c56ca2a3c644d53e780a7e4dbdc6b699;Yes;kick33180.A500;True;Install-AF-Kick33180-A500-Rom;Cloanto Amiga Forever 7/2016
Kickstart Rom Key;True;Kickstart Cloanto Amiga Forever 7/2016;;;;False;6678bb9630b65883585dda9ff63174b6;No;rom.key;True;Install-AF-Rom-Key;Cloanto Amiga Forever 7/2016

Kickstart 3.1 (40.068) (A4000) Rom;False;Kickstart Original;A4000;3.1;3.9,3.1.4,3.1;False;9bdedde6a4f33555b4a270c8ca53297d;No;kick40068.A4000;True;Install-Kick40068-A4000-Rom;Dump of original Amiga Kickstart
Kickstart 3.1 (40.068) (A1200) Rom;False;Kickstart Original;A1200;3.1;3.9,3.1.4,3.1;True;646773759326fbac3b2311fd8c8793ee;No;kick40068.A1200;True;Install-Kick40068-A1200-Rom;Dump of original Amiga Kickstart
Kickstart 3.1 (40.063) (A600) Rom;False;Kickstart Original;A500;3.1;3.9,3.1.4,3.1;True;e40a5dfb3d017ba8779faba30cbd1c8e;No;kick40063.A600;True;Install-Kick40063-A600-Rom;Dump of original Amiga Kickstart
Kickstart 1.3 (34.5) (A500) Rom;True;Kickstart Original;A500;1.3;;False;82a21c1890cae844b3df741f2762d48d;No;kick34005.A500;True;Install-Kick34005-A500-Rom;Dump of original Amiga Kickstart
Kickstart 1.2 (33.180) (A500) Rom;False;Kickstart Original;A500;1.2;;False;85ad74194e87c08904327de1a9443b7a;No;kick33180.A500;True;Install-Kick33180-A500-Rom;Dump of original Amiga Kickstart

Kickstart 3.1.4 (46.143) (A1200) Rom;False;Kickstart 3.1.4 (A1200);A1200;3.1.4;3.1.4;True;6de08cd5c5efd926d0a7643e8fb776fe;No;kick.a1200.46.143;False;;Hyperion Entertainment 1st release
Kickstart 3.1.4 (46.143) (A1200) Rom;False;Kickstart 3.1.4 (A1200);A1200;3.1.4;3.1.4;True;79bfe8876cd5abe397c50f60ea4306b9;No;kick.a1200.46.143;False;;Hyperion Entertainment 2nd release

Kickstart 3.1.4 (46.143) (A500, A600, A2000) Rom;False;Kickstart 3.1.4 (A500, A600, A2000);A500;3.1.4;3.1.4;True;7fe1eb0ba2b767659bf547bfb40d67c4;No;kick.a500.46.143;False;;Hyperion Entertainment 1st release
Kickstart 3.1.4 (46.143) (A500, A600, A2000) Rom;False;Kickstart 3.1.4 (A500, A600, A2000);A500;3.1.4;3.1.4;True;61c5b9931555b8937803505db868d5a8;No;kick.a500.46.143;False;;Hyperion Entertainment 2nd release
