Name;Priority;Set;Md5Hash;DiskName;Filename
Workbench 3.1 Extras Disk;1;Workbench 3.1 Cloanto Amiga Forever 2016;c1c673eba985e9ab0888c5762cfa3d8f;;workbench31extras.adf
Workbench 3.1 Fonts Disk;1;Workbench 3.1 Cloanto Amiga Forever 2016;6fae8b94bde75497021a044bdbf51abc;;workbench31fonts.adf
Workbench 3.1 Install Disk;1;Workbench 3.1 Cloanto Amiga Forever 2016;d6aa4537586bf3f2687f30f8d3099c99;;workbench31install.adf
Workbench 3.1 Locale Disk;1;Workbench 3.1 Cloanto Amiga Forever 2016;b53c9ff336e168643b10c4a9cfff4276;;workbench31locale.adf
Workbench 3.1 Storage Disk;1;Workbench 3.1 Cloanto Amiga Forever 2016;4fa1401aeb814d3ed138f93c54a5caef;;workbench31storage.adf
Workbench 3.1 Workbench Disk;1;Workbench 3.1 Cloanto Amiga Forever 2016;590c42a69675d6970df350e200fe25dc;;workbench31workbench.adf
Workbench 3.1 Extras Disk;1;Workbench 3.1 Cloanto Amiga Forever 7;c1c673eba985e9ab0888c5762cfa3d8f;;workbench31extras.adf
Workbench 3.1 Fonts Disk;1;Workbench 3.1 Cloanto Amiga Forever 7;6fae8b94bde75497021a044bdbf51abc;;workbench31fonts.adf
Workbench 3.1 Install Disk;1;Workbench 3.1 Cloanto Amiga Forever 7;c5be06daf40d4c3ace4eac874d9b48b1;;workbench31install.adf
Workbench 3.1 Locale Disk;1;Workbench 3.1 Cloanto Amiga Forever 7;b53c9ff336e168643b10c4a9cfff4276;;workbench31locale.adf
Workbench 3.1 Storage Disk;1;Workbench 3.1 Cloanto Amiga Forever 7;4fa1401aeb814d3ed138f93c54a5caef;;workbench31storage.adf
Workbench 3.1 Workbench Disk;1;Workbench 3.1 Cloanto Amiga Forever 7;e7b3a83df665a85e7ec27306a152b171;;workbench31workbench.adf
Workbench 3.1 Extras Disk;2;Workbench 3.1 Custom;;Extras3.1;workbench31extras.adf
Workbench 3.1 Fonts Disk;2;Workbench 3.1 Custom;;Fonts;workbench31fonts.adf
Workbench 3.1 Install Disk;2;Workbench 3.1 Custom;;Install3.1;workbench31install.adf
Workbench 3.1 Locale Disk;2;Workbench 3.1 Custom;;Locale;workbench31locale.adf
Workbench 3.1 Storage Disk;2;Workbench 3.1 Custom;;Storage3.1;workbench31storage.adf
Workbench 3.1 Workbench Disk;2;Workbench 3.1 Custom;;Workbench3.1;workbench31workbench.adf
